0,1,2,3,4,5,KR,TW,CN,JP
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, USD, % MoM, SA","Exports, Semiconductors HS 776, Value, USD, % MoM, SA",,"Japan, Exports, Semiconductors, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Energy,,,,
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Others,,,,
Monthly,Exports,Value,"USD, % MoM, SA",By Country,China,"Korea, Exports, China, Value, USD, % MoM, SA","Exports, China and Hong Kong, Value, USD, % MoM, SA","China, Exports, All, Value, USD, % MoM, SA","Japan, Exports, China, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,Japan,"Korea, Exports, DM excl Japan, Value, USD, % MoM, SA","Exports, DM excl Japan, Value, USD, % MoM, SA","Exports, DM excl Japan, Value, USD, % MoM, SA","Japan, Exports, All, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,Korea,"Korea, Exports, All, Value, USD, % MoM, SA",,,"Exports, Korea, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,Taiwan,,"Taiwan, Exports, All, Value, USD, % MoM, SA","China, Exports, Taiwan, Value, USD, % MoM, SA","Exports, Taiwan, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,EU,"Exports, EU, Value, USD, % MoM, SA","Exports, EU, Value, USD, % MoM, SA","Exports, EU, Value, USD, % MoM, SA","Exports, EU, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,US,"Exports, US, Value, USD, % MoM, SA","Exports, US, Value, USD, % MoM, SA","Exports, US, Value, USD, % MoM, SA","Exports, US, Value, USD, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",Total,,"Exports, All, Value, LCU, % MoM, SA","Exports, All, Value, LCU, % MoM, SA","Exports, All, Value, LCU, % MoM, SA","Exports, All, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Product,Semiconductors,,"Exports, Semiconductors HS 776, Value, LCU, % MoM, SA",,"Japan, Exports, Semiconductors, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"LCU, % MoM, SA",By Product,Energy,,,,
Monthly,Exports,Value,"LCU, % MoM, SA",By Product,Others,,,,
Monthly,Exports,Value,"LCU, % MoM, SA",By Country,China,,"Exports, China and Hong Kong, Value, LCU, % MoM, SA","China, Exports, All, Value, LCU, % MoM, SA","Japan, Exports, China, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Country,Japan,,"Exports, DM excl Japan, Value, LCU, % MoM, SA",,"Japan, Exports, All, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Country,Korea,"Korea, Exports, All, Value, LCU, % MoM, SA",,,"Exports, Korea, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Country,Taiwan,,,,"Exports, Taiwan, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Country,EU,,"Exports, EU, Value, LCU, % MoM, SA",,"Exports, EU, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",By Country,US,,"Exports, US, Value, LCU, % MoM, SA",,"Exports, US, Value, LCU, % MoM, SA"
Monthly,Exports,Value,"index, % MoM, SA",Total,,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Product,Semiconductors,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Product,Energy,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Product,Others,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Country,China,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Country,Japan,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Country,Korea,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Country,Taiwan,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Country,EU,,,,
Monthly,Exports,Value,"index, % MoM, SA",By Country,US,,,,
Monthly,Exports,Value,% of total,Total,,,,"Auto exports, Europe, Value, % of total","Exports, Asia tech chain, Value, % of total"
Monthly,Exports,Value,% of total,By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, % of total",,,"Japan, Exports, Semiconductors, Value, % of total"
Monthly,Exports,Value,% of total,By Product,Passenger cars,,,,
Monthly,Exports,Value,% of total,By Product,Energy,,,,
Monthly,Exports,Value,% of total,By Product,Others,,,,"Japan, Exports, Group, Others, Value, % of total"
Monthly,Exports,Value,% of total,By Country,China,,,"China, Auto exports, Europe, Value, % of total","Japan, Exports, China, Value, % of total"
Monthly,Exports,Value,% of total,By Country,Japan,,,,"Japan, Exports, All, Value, % of total"
Monthly,Exports,Value,% of total,By Country,Korea,"Korea, Exports, Autos, Value, % of total",,,
Monthly,Exports,Value,% of total,By Country,Taiwan,,"Taiwan, Exports, US, Value, % of total",,"Japan, Exports, Taiwan, Value, % of total"
Monthly,Exports,Value,% of total,By Country,EU,,,,"Exports, EU, Value, % of total"
Monthly,Exports,Value,% of total,By Country,US,,,,"Exports, US, Value, % of total"
Monthly,Exports,Value,"% of total, SA",Total,,"Exports, DM, Value, % of total, SA","Exports, EM, Value, % of total, SA","Exports, EM, Value, % of total, SA",
Monthly,Exports,Value,"% of total, SA",By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, % of total, SA",,,
Monthly,Exports,Value,"% of total, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"% of total, SA",By Product,Energy,,,,
Monthly,Exports,Value,"% of total, SA",By Product,Others,,,,
Monthly,Exports,Value,"% of total, SA",By Country,China,"Korea, Exports, China, Value, % of total, SA","Exports, China and Hong Kong, Value, % of total, SA","China, Exports, Mexico, Value, % of total, SA","Japan, Exports, China, Value, % of total, SA"
Monthly,Exports,Value,"% of total, SA",By Country,Japan,"Korea, Exports, DM excl Japan, Value, % of total, SA","Exports, DM excl Japan, Value, % of total, SA","Exports, DM excl Japan, Value, % of total, SA","Japan, Exports, ROW, Value, % of total, SA"
