raw_data_name,data_type,cleaned_name
"Imports, Russia, USD bn, % YoY",p,"Imports, Russia, Value, USD, % YoY"
"Imports, Malaysia, USD bn, % YoY",p,"Imports, Malaysia, Value, USD, % YoY"
"Imports, Country, Other, USD bn, % YoY",p,"Imports, Country, Other, Value, USD, % YoY"
"Imports, Commodity producers, USD bn, % YoY",p,"Imports, Commodity producers, Value, USD, % YoY"
"Imports, North Asia, USD bn, % YoY",p,"Imports, North Asia, Value, USD, % YoY"
"Exports, Semiconductors, USD bn, % YoY",p,"Exports, Semiconductors, Value, USD, % YoY"
"Exports, Steel products, USD bn, % YoY",p,"Exports, Steel products, Value, USD, % YoY"
"Exports, Autos, USD bn, % YoY",p,"Exports, Autos, Value, USD, % YoY"
"Exports, Petroleum products, USD bn, % YoY",p,"Exports, Petroleum products, Value, USD, % YoY"
"Exports, Wireless communication equipment, USD bn, % YoY",p,"Exports, Wireless communication equipment, Value, USD, % YoY"
"Exports, Ships, USD bn, % YoY",p,"Exports, Ships, Value, USD, % YoY"
"Exports, Automobile parts, USD bn, % YoY",p,"Exports, Automobile parts, Value, USD, % YoY"
"Exports, Computer peripherals, USD bn, % YoY",p,"Exports, Computer peripherals, Value, USD, % YoY"
"Exports, Precision equipment, USD bn, % YoY",p,"Exports, Precision equipment, Value, USD, % YoY"
"Exports, Home appliances, USD bn, % YoY",p,"Exports, Home appliances, Value, USD, % YoY"
"Exports, All, USD bn, % YoY",p,"Exports, All, Value, USD, % YoY"
"Exports, Product, Other, USD bn, % YoY",p,"Exports, Product, Other, Value, USD, % YoY"
"Exports, All ex ships, USD bn, % YoY",p,"Exports, All ex ships, Value, USD, % YoY"
"Exports, Tech, USD bn, % YoY",p,"Exports, Tech, Value, USD, % YoY"
"Exports, Auto and parts, USD bn, % YoY",p,"Exports, Auto and parts, Value, USD, % YoY"
"Exports, Other products inc Home appliances, USD bn, % YoY",p,"Exports, Other products inc Home appliances, Value, USD, % YoY"
"Imports, Semiconductors, USD bn, % YoY",p,"Imports, Semiconductors, Value, USD, % YoY"
"Imports, Crude oil, USD bn, % YoY",p,"Imports, Crude oil, Value, USD, % YoY"
"Imports, Machinery, USD bn, % YoY",p,"Imports, Machinery, Value, USD, % YoY"
"Imports, Gas, USD bn, % YoY",p,"Imports, Gas, Value, USD, % YoY"
"Imports, Semiconductor mfg equipment, USD bn, % YoY",p,"Imports, Semiconductor mfg equipment, Value, USD, % YoY"
"Imports, Precision equipment, USD bn, % YoY",p,"Imports, Precision equipment, Value, USD, % YoY"
"Imports, Petroleum products, USD bn, % YoY",p,"Imports, Petroleum products, Value, USD, % YoY"
"Imports, Wireless communication equipment, USD bn, % YoY",p,"Imports, Wireless communication equipment, Value, USD, % YoY"
"Imports, Autos, USD bn, % YoY",p,"Imports, Autos, Value, USD, % YoY"
"Imports, Coal, USD bn, % YoY",p,"Imports, Coal, Value, USD, % YoY"
"Imports, All, USD bn, % YoY",p,"Imports, All, Value, USD, % YoY"
"Imports, Product, Other, USD bn, % YoY",p,"Imports, Product, Other, Value, USD, % YoY"
"Imports, Energy, USD bn, % YoY",p,"Imports, Energy, Value, USD, % YoY"
"Exports, ASEAN, USD bn, % YoY",p,"Exports, ASEAN, Value, USD, % YoY"
"Exports, Africa, USD bn, % YoY",p,"Exports, Africa, Value, USD, % YoY"
"Exports, Asia, USD bn, % YoY",p,"Exports, Asia, Value, USD, % YoY"
"Exports, Europe, USD bn, % YoY",p,"Exports, Europe, Value, USD, % YoY"
"Exports, Latin America, USD bn, % YoY",p,"Exports, Latin America, Value, USD, % YoY"
"Exports, Middle East, USD bn, % YoY",p,"Exports, Middle East, Value, USD, % YoY"
"Exports, Mobile phones, USD bn, % YoY",p,"Exports, Mobile phones, Value, USD, % YoY"
"Exports, North America, USD bn, % YoY",p,"Exports, North America, Value, USD, % YoY"
"Exports, Oceania, USD bn, % YoY",p,"Exports, Oceania, Value, USD, % YoY"
"Exports, Semiconductor mfg equipment, USD bn, % YoY",p,"Exports, Semiconductor mfg equipment, Value, USD, % YoY"
"Exports, all, USD bn, % YoY",p,"Exports, all, Value, USD, % YoY"
"Exports, mineral fuels, USD bn, % YoY",p,"Exports, mineral fuels, Value, USD, % YoY"
"Imports, ASEAN, USD bn, % YoY",p,"Imports, ASEAN, Value, USD, % YoY"
"Imports, Africa, USD bn, % YoY",p,"Imports, Africa, Value, USD, % YoY"
"Imports, Asia, USD bn, % YoY",p,"Imports, Asia, Value, USD, % YoY"
"Imports, Europe, USD bn, % YoY",p,"Imports, Europe, Value, USD, % YoY"
"Imports, Hong Kong, USD bn, % YoY",p,"Imports, Hong Kong, Value, USD, % YoY"
"Imports, Latin America, USD bn, % YoY",p,"Imports, Latin America, Value, USD, % YoY"
"Imports, Middle East, USD bn, % YoY",p,"Imports, Middle East, Value, USD, % YoY"
"Imports, Mobile phones, USD bn, % YoY",p,"Imports, Mobile phones, Value, USD, % YoY"
"Imports, North America, USD bn, % YoY",p,"Imports, North America, Value, USD, % YoY"
"Imports, Oceania, USD bn, % YoY",p,"Imports, Oceania, Value, USD, % YoY"
"Imports, all, USD bn, % YoY",p,"Imports, all, Value, USD, % YoY"
"Imports, mineral fuels, USD bn, % YoY",p,"Imports, mineral fuels, Value, USD, % YoY"
"Exports, EM, USD bn, % YoY",p,"Exports, EM, Value, USD, % YoY"
"Exports, China, Work day adjusted, USD bn, % YoY",p,"Exports, China, Work day adjusted, Value, USD, % YoY"
"Exports, US, Work day adjusted, USD bn, % YoY",p,"Exports, US, Work day adjusted, Value, USD, % YoY"
"Exports, EU, Work day adjusted, USD bn, % YoY",p,"Exports, EU, Work day adjusted, Value, USD, % YoY"
"Exports, Vietnam, Work day adjusted, USD bn, % YoY",p,"Exports, Vietnam, Work day adjusted, Value, USD, % YoY"
"Exports, Hong Kong, Work day adjusted, USD bn, % YoY",p,"Exports, Hong Kong, Work day adjusted, Value, USD, % YoY"
"Exports, Japan, Work day adjusted, USD bn, % YoY",p,"Exports, Japan, Work day adjusted, Value, USD, % YoY"
"Exports, Taiwan, Work day adjusted, USD bn, % YoY",p,"Exports, Taiwan, Work day adjusted, Value, USD, % YoY"
"Exports, India, Work day adjusted, USD bn, % YoY",p,"Exports, India, Work day adjusted, Value, USD, % YoY"
"Exports, Singapore, Work day adjusted, USD bn, % YoY",p,"Exports, Singapore, Work day adjusted, Value, USD, % YoY"
"Exports, Malaysia, Work day adjusted, USD bn, % YoY",p,"Exports, Malaysia, Work day adjusted, Value, USD, % YoY"
"Exports, Country, Other, Work day adjusted, USD bn, % YoY",p,"Exports, Country, Other, Work day adjusted, Value, USD, % YoY"
"Exports, ASEAN Three and India, Work day adjusted, USD bn, % YoY",p,"Exports, ASEAN Three and India, Work day adjusted, Value, USD, % YoY"
"Exports, North Asia, Work day adjusted, USD bn, % YoY",p,"Exports, North Asia, Work day adjusted, Value, USD, % YoY"
"Exports, DM, Work day adjusted, USD bn, % YoY",p,"Exports, DM, Work day adjusted, Value, USD, % YoY"
"Exports, China and Hong Kong, Work day adjusted, USD bn, % YoY",p,"Exports, China and Hong Kong, Work day adjusted, Value, USD, % YoY"
"Imports, China, Work day adjusted, USD bn, % YoY",p,"Imports, China, Work day adjusted, Value, USD, % YoY"
"Imports, US, Work day adjusted, USD bn, % YoY",p,"Imports, US, Work day adjusted, Value, USD, % YoY"
"Imports, EU, Work day adjusted, USD bn, % YoY",p,"Imports, EU, Work day adjusted, Value, USD, % YoY"
"Imports, Japan, Work day adjusted, USD bn, % YoY",p,"Imports, Japan, Work day adjusted, Value, USD, % YoY"
"Imports, Vietnam, Work day adjusted, USD bn, % YoY",p,"Imports, Vietnam, Work day adjusted, Value, USD, % YoY"
"Imports, Australia, Work day adjusted, USD bn, % YoY",p,"Imports, Australia, Work day adjusted, Value, USD, % YoY"
"Imports, Taiwan, Work day adjusted, USD bn, % YoY",p,"Imports, Taiwan, Work day adjusted, Value, USD, % YoY"
"Imports, Saudi Arabia, Work day adjusted, USD bn, % YoY",p,"Imports, Saudi Arabia, Work day adjusted, Value, USD, % YoY"
"Imports, Russia, Work day adjusted, USD bn, % YoY",p,"Imports, Russia, Work day adjusted, Value, USD, % YoY"
"Imports, Malaysia, Work day adjusted, USD bn, % YoY",p,"Imports, Malaysia, Work day adjusted, Value, USD, % YoY"
"Imports, Country, Other, Work day adjusted, USD bn, % YoY",p,"Imports, Country, Other, Work day adjusted, Value, USD, % YoY"
"Imports, Commodity producers, Work day adjusted, USD bn, % YoY",p,"Imports, Commodity producers, Work day adjusted, Value, USD, % YoY"
"Imports, North Asia, Work day adjusted, USD bn, % YoY",p,"Imports, North Asia, Work day adjusted, Value, USD, % YoY"
"Exports, Semiconductors, Work day adjusted, USD bn, % YoY",p,"Exports, Semiconductors, Work day adjusted, Value, USD, % YoY"
"Exports, Steel products, Work day adjusted, USD bn, % YoY",p,"Exports, Steel products, Work day adjusted, Value, USD, % YoY"
"Exports, Autos, Work day adjusted, USD bn, % YoY",p,"Exports, Autos, Work day adjusted, Value, USD, % YoY"
"Exports, Petroleum products, Work day adjusted, USD bn, % YoY",p,"Exports, Petroleum products, Work day adjusted, Value, USD, % YoY"
"Exports, Wireless communication equipment, Work day adjusted, USD bn, % YoY",p,"Exports, Wireless communication equipment, Work day adjusted, Value, USD, % YoY"
"Exports, Ships, Work day adjusted, USD bn, % YoY",p,"Exports, Ships, Work day adjusted, Value, USD, % YoY"
"Exports, Automobile parts, Work day adjusted, USD bn, % YoY",p,"Exports, Automobile parts, Work day adjusted, Value, USD, % YoY"
"Exports, Computer peripherals, Work day adjusted, USD bn, % YoY",p,"Exports, Computer peripherals, Work day adjusted, Value, USD, % YoY"
"Exports, Precision equipment, Work day adjusted, USD bn, % YoY",p,"Exports, Precision equipment, Work day adjusted, Value, USD, % YoY"
"Exports, Home appliances, Work day adjusted, USD bn, % YoY",p,"Exports, Home appliances, Work day adjusted, Value, USD, % YoY"
"Exports, All, Work day adjusted, USD bn, % YoY",p,"Exports, All, Work day adjusted, Value, USD, % YoY"
"Exports, Product, Other, Work day adjusted, USD bn, % YoY",p,"Exports, Product, Other, Work day adjusted, Value, USD, % YoY"
"Exports, All ex ships, Work day adjusted, USD bn, % YoY",p,"Exports, All ex ships, Work day adjusted, Value, USD, % YoY"
"Exports, Tech, Work day adjusted, USD bn, % YoY",p,"Exports, Tech, Work day adjusted, Value, USD, % YoY"
"Exports, Auto and parts, Work day adjusted, USD bn, % YoY",p,"Exports, Auto and parts, Work day adjusted, Value, USD, % YoY"
"Exports, Other products inc Home appliances, Work day adjusted, USD bn, % YoY",p,"Exports, Other products inc Home appliances, Work day adjusted, Value, USD, % YoY"
"Imports, Semiconductors, Work day adjusted, USD bn, % YoY",p,"Imports, Semiconductors, Work day adjusted, Value, USD, % YoY"
"Imports, Crude oil, Work day adjusted, USD bn, % YoY",p,"Imports, Crude oil, Work day adjusted, Value, USD, % YoY"
"Imports, Machinery, Work day adjusted, USD bn, % YoY",p,"Imports, Machinery, Work day adjusted, Value, USD, % YoY"
"Imports, Gas, Work day adjusted, USD bn, % YoY",p,"Imports, Gas, Work day adjusted, Value, USD, % YoY"
"Imports, Semiconductor mfg equipment, Work day adjusted, USD bn, % YoY",p,"Imports, Semiconductor mfg equipment, Work day adjusted, Value, USD, % YoY"
"Imports, Precision equipment, Work day adjusted, USD bn, % YoY",p,"Imports, Precision equipment, Work day adjusted, Value, USD, % YoY"
"Imports, Petroleum products, Work day adjusted, USD bn, % YoY",p,"Imports, Petroleum products, Work day adjusted, Value, USD, % YoY"
