raw_data_name,data_type,cleaned_name
"Exports, UK, Manufs, Quantum Index",None,"Exports, UK, Manufs, Volume, index"
"Exports, UK, Manufs, Unit Index",None,"Exports, UK, Manufs, Price, index"
"Exports, UK, Manufs, Value Index",None,"Exports, UK, Manufs, Value, index"
"Exports, UK, Metals, Quantum Index",None,"Exports, UK, Metals, Volume, index"
"Exports, UK, Metals, Unit Index",None,"Exports, UK, Metals, Price, index"
"Exports, UK, Metals, Value Index",None,"Exports, UK, Metals, Value, index"
"Exports, UK, Miscellaneous, Quantum Index",None,"Exports, UK, Miscellaneous, Volume, index"
"Exports, UK, Miscellaneous, Unit Index",None,"Exports, UK, Miscellaneous, Price, index"
"Exports, UK, Miscellaneous, Value Index",None,"Exports, UK, Miscellaneous, Value, index"
"Exports, UK, Non-Mtl.Min.Manufs, Quantum Index",None,"Exports, UK, Non-Mtl.Min.Manufs, Volume, index"
"Exports, UK, Non-Mtl.Min.Manufs, Unit Index",None,"Exports, UK, Non-Mtl.Min.Manufs, Price, index"
"Exports, UK, Non-Mtl.Min.Manufs, Value Index",None,"Exports, UK, Non-Mtl.Min.Manufs, Value, index"
"Exports, UK, Raw Materials, Quantum Index",None,"Exports, UK, Raw Materials, Volume, index"
"Exports, UK, Raw Materials, Unit Index",None,"Exports, UK, Raw Materials, Price, index"
"Exports, UK, Raw Materials, Value Index",None,"Exports, UK, Raw Materials, Value, index"
"Exports, UK, Textiles, Quantum Index",None,"Exports, UK, Textiles, Volume, index"
"Exports, UK, Textiles, Unit Index",None,"Exports, UK, Textiles, Price, index"
"Exports, UK, Textiles, Value Index",None,"Exports, UK, Textiles, Value, index"
"Exports, UK, Total, Quantum Index",None,"Exports, UK, Total, Volume, index"
"Exports, UK, Total, Unit Index",None,"Exports, UK, Total, Price, index"
"Exports, UK, Total, Value Index",None,"Exports, UK, Total, Value, index"
"Exports, US, Chemicals, Quantum Index",None,"Exports, US, Chemicals, Volume, index"
"Exports, US, Chemicals, Unit Index",None,"Exports, US, Chemicals, Price, index"
"Exports, US, Chemicals, Value Index",None,"Exports, US, Chemicals, Value, index"
"Exports, US, Food-stuff, Quantum Index",None,"Exports, US, Food-stuff, Volume, index"
"Exports, US, Food-stuff, Unit Index",None,"Exports, US, Food-stuff, Price, index"
"Exports, US, Food-stuff, Value Index",None,"Exports, US, Food-stuff, Value, index"
"Exports, US, Machinery & Equipment, Quantum Index",None,"Exports, US, Machinery & Equipment, Volume, index"
"Exports, US, Machinery & Equipment, Unit Index",None,"Exports, US, Machinery & Equipment, Price, index"
"Exports, US, Machinery & Equipment, Value Index",None,"Exports, US, Machinery & Equipment, Value, index"
"Exports, US, Manufs, Quantum Index",None,"Exports, US, Manufs, Volume, index"
"Exports, US, Manufs, Unit Index",None,"Exports, US, Manufs, Price, index"
"Exports, US, Manufs, Value Index",None,"Exports, US, Manufs, Value, index"
"Exports, US, Metals, Quantum Index",None,"Exports, US, Metals, Volume, index"
"Exports, US, Metals, Unit Index",None,"Exports, US, Metals, Price, index"
"Exports, US, Metals, Value Index",None,"Exports, US, Metals, Value, index"
"Exports, US, Miscellaneous, Quantum Index",None,"Exports, US, Miscellaneous, Volume, index"
"Exports, US, Miscellaneous, Unit Index",None,"Exports, US, Miscellaneous, Price, index"
"Exports, US, Miscellaneous, Value Index",None,"Exports, US, Miscellaneous, Value, index"
"Exports, US, Non-Mtl.Min.Manufs, Quantum Index",None,"Exports, US, Non-Mtl.Min.Manufs, Volume, index"
"Exports, US, Non-Mtl.Min.Manufs, Unit Index",None,"Exports, US, Non-Mtl.Min.Manufs, Price, index"
"Exports, US, Non-Mtl.Min.Manufs, Value Index",None,"Exports, US, Non-Mtl.Min.Manufs, Value, index"
"Exports, US, Raw Materials, Quantum Index",None,"Exports, US, Raw Materials, Volume, index"
